75111 : ['144 Armory', '02:00PM - 02:50PM', 'F']
71455 : ['325 David Kinley Hall', '02:00PM - 02:50PM', 'R']
71457 : ['136 Davenport Hall', '04:00PM - 04:50PM', 'R']
71461 : ['132 Bevier Hall', '11:00AM - 11:50AM', 'F']
73306 : ['1062 Lincoln Hall', '03:00PM - 03:50PM', 'W']
73308 : ['1062 Lincoln Hall', '04:00PM - 04:50PM', 'W']
73313 : ['144 Armory', '10:00AM - 10:50AM', 'F']
73315 : ['132 Bevier Hall', '12:00PM - 12:50PM', 'F']
71453 : ['n.a.', '12:00PM - 12:50PM', 'MW']
41758 : ['166 Bevier Hall', '09:00AM - 09:50AM', 'F']
47100 : ['166 Bevier Hall', '12:00PM - 12:50PM', 'F']
47102 : ['n.a.', '01:00PM - 01:50PM', 'F']
51248 : ['166 Bevier Hall', '10:00AM - 10:50AM', 'F']
51249 : ['166 Bevier Hall', '11:00AM - 11:50AM', 'F']
51932 : ['n.a.', '02:00PM - 02:50PM', 'F']
59818 : ['165 Noyes Laboratory', '10:00AM - 10:50AM', 'F']
59819 : ['165 Noyes Laboratory', '11:00AM - 11:50AM', 'F']
59820 : ['166 Bevier Hall', '02:00PM - 02:50PM', 'F']
59821 : ['166 Bevier Hall', '01:00PM - 01:50PM', 'F']
29646 : ['n.a.', '01:00PM - 01:50PM', 'MW']
51394 : ['1028 Lincoln Hall', '11:00AM - 12:20PM', 'MW']
67473 : ['1028 Lincoln Hall', '02:00PM - 03:20PM', 'MW']
71040 : ['n.a.', 'ARRANGED', 'n.a.']
71043 : ['n.a.', 'ARRANGED', 'n.a.']
74251 : ['n.a.', 'ARRANGED', 'n.a.']
71845 : ['n.a.', 'ARRANGED', 'n.a.']
75111 : ['144 Armory', '02:00PM - 02:50PM', 'F']
71455 : ['325 David Kinley Hall', '02:00PM - 02:50PM', 'R']
71457 : ['136 Davenport Hall', '04:00PM - 04:50PM', 'R']
71461 : ['132 Bevier Hall', '11:00AM - 11:50AM', 'F']
73306 : ['1062 Lincoln Hall', '03:00PM - 03:50PM', 'W']
73308 : ['1062 Lincoln Hall', '04:00PM - 04:50PM', 'W']
73313 : ['144 Armory', '10:00AM - 10:50AM', 'F']
73315 : ['132 Bevier Hall', '12:00PM - 12:50PM', 'F']
71453 : ['n.a.', '12:00PM - 12:50PM', 'MW']
71409 : ['221 Gregory Hall', '09:00AM - 09:50AM', 'F']
71413 : ['321 Gregory Hall', '01:00PM - 01:50PM', 'F']
71417 : ['221 Gregory Hall', '12:00PM - 12:50PM', 'F']
75269 : ['321 Gregory Hall', '12:00PM - 12:50PM', 'F']
75272 : ['311 Gregory Hall', '03:00PM - 03:50PM', 'W']
75275 : ['311 Gregory Hall', '02:00PM - 02:50PM', 'W']
70106 : ['112 Gregory Hall', '12:00PM - 12:50PM', 'MW']
64421 : ['302 Architecture Building', '09:30AM - 10:45AM', 'TR']
66652 : ['215 Gregory Hall', '02:00PM - 03:20PM', 'TR']
65000 : ['22 Education Building', '02:00PM - 03:50PM', 'R']
33764 : ['4G Education Building', '02:00PM - 03:50PM', 'R']
33770 : ['22 Education Building', '02:00PM - 03:50PM', 'T']
75368 : ['209 David Kinley Hall', '02:00PM - 03:20PM', 'TR']
45567 : ['n.a.', '02:30PM - 04:20PM', 'T']
64998 : ['n.a.', '02:30PM - 04:20PM', 'T']
55874 : ['212 Davenport Hall', '02:00PM - 04:20PM', 'M']
55873 : ['212 Davenport Hall', '02:00PM - 04:20PM', 'M']
72060 : ['208 Agricultural Engr Sciences Bld', '01:00PM - 02:50PM', 'R']
10141 : ['n.a.', 'ARRANGED', 'n.a.']
70613 : ['242 Agricultural Engr Sciences Bld', '12:00PM - 12:50PM', 'W']
55376 : ['n.a.', '01:00PM - 02:20PM', 'MW']
58928 : ['n.a.', '08:00AM - 09:50AM', 'T']
58929 : ['n.a.', '10:00AM - 11:50AM', 'T']
58930 : ['n.a.', '01:00PM - 02:50PM', 'T']
58927 : ['n.a.', '10:00AM - 10:50AM', 'MWF']
58932 : ['n.a.', '08:00AM - 09:50AM', 'T']
58933 : ['n.a.', '10:00AM - 11:50AM', 'T']
58931 : ['n.a.', '10:00AM - 10:50AM', 'MWF']
75460 : ['158 Loomis Laboratory', '02:00PM - 03:20PM', 'TR']
57598 : ['242 Agricultural Engr Sciences Bld', '11:00AM - 11:50AM', 'F'] 
57598 : ['208 Agricultural Engr Sciences Bld', '11:00AM - 11:50AM', 'MW']
75280 : ['248 Agricultural Engr Sciences Bld', '09:00AM - 11:50AM', 'F']
75280 : ['n.a.', '09:00AM - 9:50AM', 'MW']
50272 : ['n.a.', 'ARRANGED', 'n.a.']
76720 : ['n.a.', 'ARRANGED', 'n.a.']
64780 : ['n.a.', '01:00PM - 02:50PM', 'R']
64781 : ['n.a.', '10:00AM - 11:50AM', 'W']
64782 : ['n.a.', '11:00AM - 12:50PM', 'R']
64779 : ['n.a.', '11:00AM - 11:50AM', 'T']
76434 : ['n.a.', 'ARRANGED', 'n.a.']
68450 : ['208 Agricultural Engr Sciences Bld', '01:00PM - 02:50PM', 'M']
68450 : ['208 Agricultural Engr Sciences Bld', '01:00PM - 01:50PM', 'WF']
68451 : ['208 Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld', '01:00PM - 02:50PM130001:00PM - 01:50PM', 'M      WF']
33575 : ['149 National Soybean Res Ctr', '03:30PM - 04:50PM', 'TR']
34029 : ['n.a.', 'ARRANGED', 'n.a.']
34047 : ['n.a.', 'ARRANGED', 'n.a.']
34061 : ['n.a.', 'ARRANGED', 'n.a.']
55892 : ['n.a.', 'ARRANGED', 'n.a.']
67023 : ['n.a.', 'ARRANGED', 'n.a.']
75570 : ['3038 Campus Instructional Facility', '01:00PM - 02:20PM', 'TR']
76687 : ['Location Pending', '01:00PM - 02:20PM', 'TR']
29655 : ['242 Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld', '03:00PM - 05:50PM100010:00AM - 10:50AM', 'W      MWF']
39805 : ['242 Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld', '03:00PM - 05:50PM100010:00AM - 10:50AM', 'W      MWF']
31273 : ['242 Agricultural Engr Sciences Bld', '12:00PM - 02:50PM', 'R']
31277 : ['242 Agricultural Engr Sciences Bld', '03:00PM - 05:50PM', 'R']
31280 : ['n.a.', '09:00AM - 09:50AM', 'TR']
29660 : ['248 Agricultural Engr Sciences Bld', '03:00PM - 04:50PM', 'W']
29662 : ['242 Agricultural Engr Sciences Bld', '09:30AM - 10:50AM', 'TR']
29663 : ['272 Agricultural Engr Sciences Bld', '09:00AM - 10:50AM', 'TR']
57478 : ['272 Agricultural Engr Sciences Bld', '01:00PM - 02:20PM', 'TR']
50183 : ['n.a.', 'ARRANGED', 'n.a.']
10169 : ['n.a.', 'ARRANGED', 'n.a.']
72232 : ['Location Pending', 'ARRANGED', 'n.a.']
39806 : ['272 Agricultural Engr Sciences Bld', '01:00PM - 01:50PM', 'F']
75474 : ['158 Loomis Laboratory158 Loomis Laboratory', '03:30PM - 04:20PM140002:00PM - 03:20PM', 'R      TR']
47356 : ['208 Agricultural Engr Sciences Bld', '12:00PM - 12:50PM', 'F']
10177 : ['n.a.', 'ARRANGED', 'n.a.']
10033 : ['n.a.', 'ARRANGED', 'n.a.']
69998 : ['3003 Business Instructional Fac', '03:30PM - 04:20PM', 'M']
39539 : ['n.a.', 'ARRANGED', 'n.a.']
29670 : ['n.a.', 'ARRANGED', 'n.a.']
36478 : ['2011 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36482 : ['2011 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36484 : ['2001 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36486 : ['2011 Business Instructional Fac', '10:00AM - 10:50AM', 'F']
36487 : ['3057 Business Instructional Fac', '10:00AM - 10:50AM', 'F']
36489 : ['2001 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36494 : ['2011 Business Instructional Fac', '11:00AM - 11:50AM', 'F']
36496 : ['3057 Business Instructional Fac', '11:00AM - 11:50AM', 'F']
36499 : ['3063 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36502 : ['3009 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36506 : ['2011 Business Instructional Fac', '12:00PM - 12:50PM', 'F']
36509 : ['3057 Business Instructional Fac', '12:00PM - 12:50PM', 'F']
36513 : ['2001 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36516 : ['3063 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36522 : ['2011 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36526 : ['3057 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36530 : ['2001 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36536 : ['2011 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36538 : ['3057 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36543 : ['3063 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36474 : ['n.a.', '11:00AM - 12:20PM', 'W']
36477 : ['n.a.', '12:30PM - 01:50PM', 'W']
71428 : ['n.a.', '09:30AM - 10:50AM', 'W']
36552 : ['3057 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36556 : ['3057 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36560 : ['3063 Business Instructional Fac', '10:00AM - 10:50AM', 'F']
36565 : ['3063 Business Instructional Fac', '11:00AM - 11:50AM', 'F']
36568 : ['3063 Business Instructional Fac', '12:00PM - 12:50PM', 'F']
36574 : ['3063 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
71329 : ['2007 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
71330 : ['2007 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
71331 : ['1025 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
71332 : ['1025 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36549 : ['n.a.', '07:00PM - 08:50PM', 'T']
71328 : ['n.a.', '07:00PM - 08:50PM', 'T']
45794 : ['Location Pending', 'ARRANGED', 'n.a.']
36577 : ['n.a.', '08:00AM - 09:20AM', 'MW']
36581 : ['2001 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
36584 : ['2063 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
36587 : ['2005 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
36590 : ['3001 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
36592 : ['2005 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
36598 : ['3001 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
49255 : ['2005 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
36610 : ['n.a.', '08:00AM - 09:20AM', 'TR']
36614 : ['2001 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
36618 : ['3003 Business Instructional Fac', '03:30PM - 04:50PM', 'TR']
36677 : ['2005 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
